2008-01-18,US,LAS,ORD,2356,4.00,0.00,0,2300-2359,18.00,0018,0514,7.00,0537,0521,-16.00,0.00,-2,0001-0559,0.00,0.00,221.00,201.00,176.00,1.00,1515.00,7,,,,,,OT,340629,2400,5840,4310,1343,-2,0,2008-01-18,0,-2,7,OT,,,,,,18,3,1,19,1,7,6,514,18,2356,537,521,2400,,,,,,514,18,2356
2008-01-18,UA,DEN,IAD,2359,1.00,0.00,0,2300-2359,19.00,0019,0458,4.00,0506,0502,-4.00,0.00,-1,0001-0559,0.00,0.00,187.00,182.00,159.00,1.00,1452.00,6,,,,,,OT,350816,2400,5798,1701,7364,-1,0,2008-01-18,0,-1,6,OT,,,,,,18,3,2,19,1,6,6,458,19,2359,506,502,2400,,,,,,458,19,2359
2008-01-19,DL,OGG,SLC,2250,70.00,1.00,4,2200-2259,12.00,0012,0848,11.00,0752,0859,67.00,1.00,4,0700-0759,0.00,0.00,362.00,359.00,336.00,1.00,2936.00,11,0.00,0.00,0.00,0.00,67.00,DD,358844,2400,2182,3187,5954,4,4,2008-01-19,4,4,11,DD,0.00,0.00,0.00,0.00,67.00,19,7,7,18,3,11,7,848,12,2250,752,859,2400,0,0,0,0,67,848,12,2250
2008-01-20,US,LAS,ONT,2358,2.00,0.00,0,2300-2359,36.00,0036,0112,5.00,0102,0117,15.00,1.00,1,0001-0559,0.00,0.00,64.00,77.00,36.00,1.00,197.00,1,2.00,0.00,13.00,0.00,0.00,DD,374438,2400,5840,4310,5026,1,0,2008-01-20,0,1,1,DD,2.00,0.00,13.00,0.00,0.00,20,3,4,19,1,1,7,112,36,2358,102,117,2400,2,0,13,0,0,112,36,2358
2008-01-20,YV,LAS,FAT,2355,5.00,0.00,0,2300-2359,34.00,0034,0120,5.00,0110,0125,15.00,1.00,1,0001-0559,0.00,0.00,75.00,85.00,46.00,1.00,258.00,2,15.00,0.00,0.00,0.00,0.00,DD,380537,2400,3836,4310,2227,1,0,2008-01-20,0,1,2,DD,15.00,0.00,0.00,0.00,0.00,20,3,4,19,1,2,7,120,34,2355,110,125,2400,15,0,0,0,0,120,34,2355
2008-01-20,YV,LAS,MFR,2351,9.00,0.00,0,2300-2359,30.00,0030,0216,4.00,0148,0220,32.00,1.00,2,0001-0559,0.00,0.00,117.00,140.00,106.00,1.00,599.00,3,32.00,0.00,0.00,0.00,0.00,DD,380539,2400,3836,4310,5824,2,0,2008-01-20,0,2,3,DD,32.00,0.00,0.00,0.00,0.00,20,3,5,19,1,3,7,216,30,2351,148,220,2400,32,0,0,0,0,216,30,2351
2008-01-20,DL,SLC,JFK,2359,1.00,0.00,0,2300-2359,17.00,0017,0552,6.00,0616,0558,-18.00,0.00,-2,0600-0659,0.00,0.00,257.00,238.00,215.00,1.00,1989.00,8,,,,,,OT,385207,2400,2182,5954,3102,-2,0,2008-01-20,0,-2,8,OT,,,,,,20,3,1,19,2,8,6,552,17,2359,616,558,2400,,,,,,552,17,2359
2008-01-20,AA,DFW,TUL,2245,75.00,1.00,5,2200-2259,16.00,0016,0057,2.00,2340,0059,79.00,1.00,5,2300-2359,0.00,0.00,55.00,59.00,41.00,1.00,237.00,1,0.00,0.00,4.00,0.00,75.00,DD,389165,2400,1125,1615,7030,5,5,2008-01-20,5,5,1,DD,0.00,0.00,4.00,0.00,75.00,20,8,8,18,19,1,7,57,16,2245,2340,59,2400,0,0,4,0,75,57,16,2245
2008-01-21,UA,ORD,CLE,2125,155.00,1.00,10,2100-2159,36.00,0036,0218,2.00,2336,0220,164.00,1.00,10,2300-2359,0.00,0.00,71.00,80.00,42.00,1.00,316.00,2,0.00,0.00,9.00,0.00,155.00,DD,395593,2400,5798,1343,1425,10,10,2008-01-21,10,10,2,DD,0.00,0.00,9.00,0.00,155.00,21,13,13,17,19,2,7,218,36,2125,2336,220,2400,0,0,9,0,155,218,36,2125
2008-01-21,OH,MSP,CVG,1755,365.00,1.00,12,1700-1759,30.00,0030,0238,10.00,2041,0248,367.00,1.00,12,2000-2059,0.00,0.00,106.00,108.00,68.00,1.00,596.00,3,0.00,0.00,2.00,0.00,365.00,DD,404678,2400,1987,4435,1403,12,12,2008-01-21,12,12,3,DD,0.00,0.00,2.00,0.00,365.00,21,15,15,13,16,3,7,238,30,1755,2041,248,2400,0,0,2,0,365,238,30,1755
